BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5
7,"","ABDULLATEEF2020100005","Abdullateef, Shaher; Parkinson, Tom; Sarmini, Iman","Cross Border Connected Learning in Northern Syria: An Agricultural Pilot Study","International Journal of Educational Research Open",,,"","100005",2020,"","","http://www.sciencedirect.com/science/article/pii/S2666374020300054","","","","","","","","","","","","","Prior to 2011, public universities and private institutions in Syria were the main sources of knowledge and skills training for industry and agriculture. Due to the ongoing conflict and humanitarian crisis however, the country's education system has been decimated at all levels, with disastrous effects for the nation's knowledge base and training provision. To address these circumstances, strategies and methods for effectively re-skilling and up-skilling the agricultural workforce inside Syria are urgently needed. Traditional face-to-face models of education are difficult to implement due to conditions of conflict. This action research project centres on the delivery of participatory e-learning courses by Syrian academics in exile to learners inside Syria. In this paper, we describe and evaluate the delivery of a 5-week pilot course on Soilless Cultivation Systems. In addition to delivering an effective course, we sought to understand the challenges associated with distance learning in the Syrian context, to inform further development of approaches that can surmount these challenges, and which might in due course be extended into other areas beyond agricultural engineering. Accordingly, we developed a course that at a) constituted a meaningful educational experience for learners; b) facilitated the trial of a range of pedagogical approaches; and c) allowed for the collection of evaluative data to inform subsequent learning design. Findings highlighted the challenges of achieving applied relevance without laboratory or field access, meeting the needs and expectations of diverse learners, and facilitating sufficient interaction between learners and the lecturer. Possible strategies to address these issues include use of high-quality video and images and planned use of routine social media technologies to facilitate parallel networking and resource share.","","e-learning, agricultural education, Syria, soilless culture systems, conflict, cross border, connected learning","",""
5,"978-0-08-102296-2","AZIS2020269","Azis, Iwan J.","Regional Development and Noneconomic Factors","",,,"","269 - 274",2020,"Oxford","","http://www.sciencedirect.com/science/article/pii/B9780081022955101179","International Encyclopedia of Human Geography (Second Edition)","","Second Edition","","Kobayashi, Audrey","Elsevier","","","","","","","Noneconomic factors matter in differentiating regions and regional development as a playing arena for human activities. Things like trust, tradition, habits, familiarity, and conventions of communication and interaction, all related to culture and institutions and differ across time, space, or social groups. They capture the elements of social preferences and beliefs as a reflection of human understanding, shared knowledge, and practice. Together with historical, political, and natural factors, they determine the characteristics of a region and regional development. The multidimensional concept of regional development is closely linked with the goal to provide greater access to opportunities to the society for their satisfactory personal and professional fulfillment. In the process, institutional factors matter. In the case of decentralization with widespread local capture, the role of people's participation as an institutional factor is critical in the achievement of a broader defined regional welfare.","","Clustering, Convergence, Culture, Decentralization, Divergence, Inequality, Institutions, People's participation","",""
7,"","BUEGER2020104067","Bueger, Christian; Edmunds, Timothy","Blue crime: Conceptualising transnational organised crime at sea","Marine Policy",119,,"","104067",2020,"","","http://www.sciencedirect.com/science/article/pii/S0308597X20300270","","","","","","","","","","","","","Transnational organised crime at sea is a growing international concern. However, and despite its importance, the concept remains uncertain and contested. This ambiguity has led to a tendency to focus on individual challenges such as piracy or illegal fishing, rather than convergencies and synergies between and across issues, and has stymied a concerted international policy response. Debate continues over the term itself, what illicit activities it incorporates and excludes, and how these can be meaningfully conceptualised in ways that both recognise the diverse nature of the concept yet also provide a basis for an integrated response to the challenges it presents. In this paper, we address this lacuna by providing a systemic conceptualisation and analysis of transnational organised crime at sea. Our goal is to provide a firm basis for future enquiries on the different types of blue crime, to trace their distinct characteristics and identify how they intersect, and to consider what kinds of synergies can be built to respond to them. In so doing, we organise the nascent academic and policy discourse on blue criminology and maritime security to provide a new framework for navigating this complex issue for practitioners and analysts alike.","","","",""
7,"","CASTRICIONES2020","Castriciones, Emily Valentin; Vijayan, Viji","Biosecurity risk mapping and gap analysis in South East Asia","Journal of Biosafety and Biosecurity",,,"","",2020,"","","http://www.sciencedirect.com/science/article/pii/S2588933820300042","","","","","","","","","","","","","Introduction In today’s globalized world where travel is commonplace, a threat in one region can easily spread throughout the whole world. It is, therefore, essential for multi-disciplinary risk assessment, risk mitigation, and collaborative strategies to take place among various stakeholders to mitigate this. Any strategic plan to deal with biosecurity, therefore, needs to be a complete loop, top to bottom and bottom to top. This paper describes the results of Project 62, which involved mapping and biosecurity risk assessment in South East Asia. Materials and methods The mapping and biosecurity risk assessment activities for the participating partner countries was carried out in two phases. The first phase involved risk assessment by six partner-country bio-experts for their own countries and the second phase involved conducting a joint Strengths, Weaknesses, Opportunities, and Threats (SWOT) analysis and risk assessment for the South East Asian region as whole, together with international bio-experts at a workshop. Results and discussion The following key recommendations of the project show that biosecurity needs to be addressed through stakeholder engagement at multiple levels starting from the top echelons of the government to the worker who needs to recognize and understand the threats they might face: 1.Systematic analysis of existing information from BWC ISU Article 10, IHR capacities, JEE, UN Security Council Resolution 1540 Action Plan, EU CBRN NAP, and other relevant sources to develop a common understanding of the definition of biosecurity for all stakeholders in the region.2.Creation of programs for awareness building in biosecurity, not limiting them to laboratory biosecurity but using an all-inclusive approach to include border biosecurity, pandemic response, etc.3.Creation of a country-specific list of high-risk biological materials.4.Compulsory standardized biosecurity training, including responsible conduct in biosecurity research.5.Framework for one-health and security interface addressing biosecurity threats.6.Framework for ensuring information security in relation to biosecurity.7.Involvement of local/regional experts in the implementation of EU-CBRN CoE projects.","","Biosecurity, Biosafety, Biorisk, CBRN, Risk mapping, Risk assessment, Gap analysis, South East Asia","",""
7,"","GOEL2020","Goel, Rajeev K.; Nelson, Michael A.","Capacity utilization in emerging economy firms: Some new insights related to the role of infrastructure and institutions","The Quarterly Review of Economics and Finance",,,"","",2020,"","","http://www.sciencedirect.com/science/article/pii/S1062976920300685","","","","","","","","","","","","","This paper adds to the literature on capacity utilization at the firm level by considering the influences of institutions. Specifically, we consider the threat of informal competition as a sign of weakness of internal institutions, and corruption as a signal of the weakness of external institutions. The extant literature has generally considered the role of market and technical factors in dictating capacity utilization. Results, using data across more than 100 nations, show that both corruption and informal competition undermine firms' incentives to use capacity maximally. We also consider the role of infrastructure bottlenecks. Our findings showed that water supply constraints and severe electric supply restrictions limited firms’ ability to utilize capacity, but transportation limitations were not similarly binding. Further, firms' attributes, including size, age, ownership structure, and managerial experience have important bearings. An important implication is that firms’ inability to utilize capacity might be rooted in factors beyond technical constraints.","","Capacity utilization, Corruption, Informal economy, Z-inefficiency, Institutions, X-inefficiency, Infrastructure","",""
7,"","GRITSENKO2020101547","Gritsenko, Daria; Efimova, Elena","Is there Arctic resource curse? Evidence from the Russian Arctic regions","Resources Policy",65,,"","101547",2020,"","","http://www.sciencedirect.com/science/article/pii/S0301420719305057","","","","","","","","","","","","","The ongoing interest in the Arctic and its immense natural wealth calls for better understanding the effects of resource development on the local Arctic economies. The idea that natural resources might be an economic curse rather than a blessing has been debated in the literature for the last 30 years. This paper contributes to study of resource-based development in the Arctic by exploring how the resource curse thesis can be interpreted at the level of an extractive region. We operationalize these interpretations for seven regions included into Russia's Arctic Zone using statistical indicators. Our investigation does not support the resource curse thesis in application to the Russian Arctic regions, but indicates several economic vulnerabilities across the regions. We conclude that the regions vary in the patterns of their socio-economic development, yet, we cannot attribute the differences to resource-based economy alone.","","Arctic, Russia, Resource curse, Regional development, Economics","",""
7,"","GUNAWAN2020118989","Gunawan, Juniati; Permatasari, Paulina; Tilt, Carol","Sustainable development goal disclosures: Do they support responsible consumption and production?","Journal of Cleaner Production",246,,"","118989",2020,"","","http://www.sciencedirect.com/science/article/pii/S0959652619338594","","","","","","","","","","","","","Corporate social responsibility (CSR) is one of the tools used to achieve sustainable development goals (SDGs). The purpose of this paper is to examine whether CSR activities in Indonesian companies support and align to the SDGs, especially in achieving the goal of responsible consumption and production. The data was collected from 453 annual reports and 44 sustainability reports of Indonesian listed companies from 2014 until 2016. The total data observation was from 585 reports. Content analysis was applied to examine the disclosures in both the annual and sustainability reports. Firstly, the analysis targeted sustainability reports. However, due to the limited number of sustainability reports, annual reports were also analyzed for the most recent year when this study was undertaken, which was 2016. The 2016 annual report content analysis shows that Indonesian companies tend to support the achievement of (1) sustainable cities and communities, (2) good health and well-being, (3) decent work and economic growth, (4) responsible consumption and production, and (5) quality education. The content analysis results for the 2014–2016 sustainability reports were found to be similar to the annual report analysis, albeit in a different order: (1) good health and well-being, (2) quality education, (3) sustainable cities and communities, (4) decent work and economic growth, and (5) responsible consumption and production. In short, based on both the annual and sustainability reports, Indonesian companies are likely to support these five SDG priorities. SDG goals are expected to be in line with the country’s commitment. However the support from the companies is not yet aligned to the SDG priorities selected in Indonesia. The results from this analysis can be used to encourage the Government to socialize and provide an understanding of SDGs and the country’s commitment to Indonesian companies. In addition, this study can be used to draw useful perspectives, not only for the Indonesian Government, but also for the other 193 countries that have adopted the SDGs. The results should encourage companies to implement business activities, in particular CSR activities that incorporate the SDG priority development targets. Also, this study can be a platform to provide a comprehensive picture to support SDGs, particularly in achieving the targets for responsible consumption and production. Other countries are expected to start examining their business activities, including CSR programs, in order to support and align with the country’s SDG targets. This evaluation is important, as the SDG initiative will soon be reaching the first one third of the 2030 target implementation timeframe, so time cannot be wasted.","","Corporate social responsibility, Indonesia, Responsible consumption and production, Sustainable development goals","",""
7,"","HU2020105758","Hu, Juncheng; Li, Xiaorong; Duncan, Keith; Xu, Jia","Corporate relationship spending and stock price crash risk: Evidence from China's anti-corruption campaign","Journal of Banking & Finance",113,,"","105758",2020,"","","http://www.sciencedirect.com/science/article/pii/S037842662030025X","","","","","","","","","","","","","This study examines whether corporate relationship spending through business entertainment expenses (BEEs) affects future stock price crash risk. Stakeholder theory suggests that expenditure on relationship building with external stakeholders enhances trust, firm reputation, and transparency, potentially lowering future crash risk. However, agency theory suggests that excessive relationship spending is associated with greater information opacity and managerial opportunism, contributing to greater future crash risk. Our results are more aligned with the agency perspective, showing that BEEs relate positively to future crash risk. China's 2012 anti-corruption campaign significantly moderated the effect of BEEs on stock price crash risk, particularly for firms having weak political connections, weak information transparency, and weak external monitoring mechanisms. The positive BEE-crash relation persists after the anti-corruption campaign for high financial risk firms.","","Crash risk, Relationship, Business entertainment expenses, Anti-corruption campaign","",""
7,"","JAIN2020101181","Jain, Ritika","Bribery and firm performance in India: A political economy perspective","Journal of Asian Economics",68,,"","101181",2020,"","","http://www.sciencedirect.com/science/article/pii/S1049007820300257","","","","","","","","","","","","","This study examines how corruption affects firm performance in India using data from the World Bank Enterprise Survey for 2013-14. A set of testable hypotheses is formulated with regard to the interaction between bribery and the political environment to capture the nuances of the effect of corruption on firm performance. To overcome endogeneity between bribery and firm performance, the study employs two-stage least squares instrumental variables estimation. The foremost finding is that bribery has significantly negative effects on firm profitability and labor productivity. This finding confirms the hypothesis that in India bribery “sands the wheels” of business. A further finding is that the negative effect of bribery on productivity is stronger in states run by right leaning parties, although there is no significant effect of party orientation on the relationship between bribery and profitability. This finding supports the hypothesis that tighter connections between business and government facilitate rent seeking that undermines productivity even as profitability is unencumbered. Finally, bribery is found to have more harmful effects on smaller and older firms than on larger and younger ones.","","Corruption, Firm performance, Bribery, Ideology, Political competition, India","",""
7,"","JIANG2020104650","Jiang, Feng","Chinese contractor involvement in wildlife protection in Africa: Case study of Mombasa-Nairobi Standard Gauge Railway Project, Kenya","Land Use Policy",95,,"","104650",2020,"","","http://www.sciencedirect.com/science/article/pii/S0264837719307860","","","","","","","","","","","","","As their sales of projects in Africa increase at a high annual growth rate, Chinese contractors are encountering new challenges regarding wildlife protection during project construction. Using the Mombasa-Nairobi Standard Gauge Railway project constructed by the China Road and Bridge Corporation (CRBC) as a case study, we researched how the CRBC involves itself in wildlife protection throughout the project. The results state that, although the CRBC's efforts show its commitment to wildlife protection, its overall involvement in this domain is far from successful. Chinese contractors need to improve their effort regarding wildlife protection for future projects.","","Chinese contractor, Construction, Wildlife protection, Railway, Kenya","",""
